starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 30 15:31:06 2023	1701347466	0	3	3	1
Thu Nov 30 15:31:06 2023	1701347466	0	4	4	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	5	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	5	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	5	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	5	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	5	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	5	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	5	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	5	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	5	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	5	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	5	4
Thu Nov 30 15:31:06 2023	1701347466	2	3	5	3
Thu Nov 30 15:31:06 2023	1701347466	1	4	5	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	5	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	5	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	6	4
Thu Nov 30 15:31:06 2023	1701347466	2	3	6	3
Thu Nov 30 15:31:06 2023	1701347466	2	3	6	3
Thu Nov 30 15:31:06 2023	1701347466	2	4	6	4
Thu Nov 30 15:31:06 2023	1701347466	2	4	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	6	4
Thu Nov 30 15:31:06 2023	1701347466	3	3	6	2
Thu Nov 30 15:31:06 2023	1701347466	1	5	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	6	4
Thu Nov 30 15:31:06 2023	1701347466	2	3	6	3
Thu Nov 30 15:31:06 2023	1701347466	1	5	6	5
Thu Nov 30 15:31:06 2023	1701347466	1	4	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	5	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	5	6	5
Thu Nov 30 15:31:06 2023	1701347466	1	5	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	6	4
Thu Nov 30 15:31:06 2023	1701347466	2	4	6	4
Thu Nov 30 15:31:06 2023	1701347466	2	4	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	5	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	4	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	5	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	5	6	4
Thu Nov 30 15:31:06 2023	1701347466	0	6	6	5
Thu Nov 30 15:31:06 2023	1701347466	1	5	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	5	6	4
Thu Nov 30 15:31:06 2023	1701347466	1	5	6	4
Thu Nov 30 15:31:06 2023	1701347466	2	4	6	4
