starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 30 15:18:33 2023	1701346713	1	2	3	2
Thu Nov 30 15:18:33 2023	1701346713	1	2	3	2
Thu Nov 30 15:18:33 2023	1701346713	0	3	3	3
Thu Nov 30 15:18:33 2023	1701346713	0	2	3	2
Thu Nov 30 15:18:33 2023	1701346713	1	2	3	2
Thu Nov 30 15:18:33 2023	1701346713	0	3	3	3
Thu Nov 30 15:18:33 2023	1701346713	1	2	3	2
Thu Nov 30 15:18:33 2023	1701346713	0	3	3	3
Thu Nov 30 15:18:33 2023	1701346713	0	3	3	3
Thu Nov 30 15:18:33 2023	1701346713	0	3	3	3
Thu Nov 30 15:18:33 2023	1701346713	0	3	3	3
Thu Nov 30 15:18:33 2023	1701346713	1	3	3	3
Thu Nov 30 15:18:33 2023	1701346713	0	3	3	3
Thu Nov 30 15:18:33 2023	1701346713	0	3	3	3
Thu Nov 30 15:18:33 2023	1701346713	0	3	3	3
Thu Nov 30 15:18:33 2023	1701346713	0	3	3	3
Thu Nov 30 15:18:33 2023	1701346713	0	3	3	3
Thu Nov 30 15:18:33 2023	1701346713	0	3	3	3
Thu Nov 30 15:18:33 2023	1701346713	0	3	3	3
Thu Nov 30 15:18:33 2023	1701346713	0	3	3	3
Thu Nov 30 15:18:33 2023	1701346713	0	3	4	3
Thu Nov 30 15:18:33 2023	1701346713	0	3	4	3
Thu Nov 30 15:18:33 2023	1701346713	0	4	4	3
Thu Nov 30 15:18:33 2023	1701346713	0	3	4	3
Thu Nov 30 15:18:33 2023	1701346713	0	4	4	3
Thu Nov 30 15:18:33 2023	1701346713	0	4	4	4
Thu Nov 30 15:18:33 2023	1701346713	0	4	4	4
Thu Nov 30 15:18:33 2023	1701346713	1	3	4	3
Thu Nov 30 15:18:33 2023	1701346713	0	4	4	3
Thu Nov 30 15:18:33 2023	1701346713	0	4	4	4
Thu Nov 30 15:18:33 2023	1701346713	0	4	4	4
Thu Nov 30 15:18:33 2023	1701346713	0	4	4	4
Thu Nov 30 15:18:33 2023	1701346713	0	4	4	4
Thu Nov 30 15:18:33 2023	1701346713	0	4	4	4
Thu Nov 30 15:18:33 2023	1701346713	2	3	5	3
Thu Nov 30 15:18:33 2023	1701346713	0	4	5	4
Thu Nov 30 15:18:33 2023	1701346713	2	3	5	3
Thu Nov 30 15:18:33 2023	1701346713	2	3	5	3
Thu Nov 30 15:18:33 2023	1701346713	2	3	5	3
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	1	4	5	4
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	4
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	1	5	5	4
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	4
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	4
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	1	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	5	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	6
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	6
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	6
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	6
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	1	5	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	5	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	6
Thu Nov 30 15:18:33 2023	1701346713	0	5	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	6
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	6
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	6
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	1	5	6	4
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	6
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	1	5	6	5
Thu Nov 30 15:18:33 2023	1701346713	1	5	6	5
Thu Nov 30 15:18:33 2023	1701346713	1	5	6	5
Thu Nov 30 15:18:33 2023	1701346713	2	4	6	3
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	5
Thu Nov 30 15:18:33 2023	1701346713	1	5	6	5
Thu Nov 30 15:18:33 2023	1701346713	0	6	6	6
Thu Nov 30 15:18:33 2023	1701346713	1	5	6	4
