starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 30 15:29:16 2023	1701347356	0	3	3	1
Thu Nov 30 15:29:16 2023	1701347356	1	2	4	2
Thu Nov 30 15:29:16 2023	1701347356	1	3	4	3
Thu Nov 30 15:29:16 2023	1701347356	1	3	5	3
Thu Nov 30 15:29:16 2023	1701347356	1	3	5	3
Thu Nov 30 15:29:17 2023	1701347357	2	3	5	2
Thu Nov 30 15:29:16 2023	1701347356	2	3	5	3
Thu Nov 30 15:29:17 2023	1701347357	0	5	5	5
Thu Nov 30 15:29:16 2023	1701347356	2	3	5	3
Thu Nov 30 15:29:16 2023	1701347356	2	3	5	3
Thu Nov 30 15:29:16 2023	1701347356	2	4	5	4
Thu Nov 30 15:29:16 2023	1701347356	2	3	5	2
Thu Nov 30 15:29:16 2023	1701347356	2	3	5	3
Thu Nov 30 15:29:16 2023	1701347356	3	3	6	3
Thu Nov 30 15:29:16 2023	1701347356	2	3	6	3
Thu Nov 30 15:29:16 2023	1701347356	2	4	6	3
Thu Nov 30 15:29:16 2023	1701347356	2	3	6	3
Thu Nov 30 15:29:16 2023	1701347356	2	3	6	3
Thu Nov 30 15:29:16 2023	1701347356	2	4	6	3
Thu Nov 30 15:29:16 2023	1701347356	2	3	6	3
Thu Nov 30 15:29:16 2023	1701347356	2	3	6	3
Thu Nov 30 15:29:16 2023	1701347356	2	3	6	3
Thu Nov 30 15:29:16 2023	1701347356	2	4	6	3
Thu Nov 30 15:29:16 2023	1701347356	2	4	6	3
Thu Nov 30 15:29:16 2023	1701347356	1	5	6	5
Thu Nov 30 15:29:17 2023	1701347357	0	6	6	6
Thu Nov 30 15:29:17 2023	1701347357	0	6	6	6
Thu Nov 30 15:29:16 2023	1701347356	1	5	6	5
Thu Nov 30 15:29:16 2023	1701347356	2	5	6	4
Thu Nov 30 15:29:17 2023	1701347357	0	6	6	6
Thu Nov 30 15:29:16 2023	1701347356	3	4	6	3
Thu Nov 30 15:29:17 2023	1701347357	0	6	6	6
Thu Nov 30 15:29:17 2023	1701347357	0	6	6	6
Thu Nov 30 15:29:16 2023	1701347356	1	5	6	5
Thu Nov 30 15:29:16 2023	1701347356	2	5	6	4
Thu Nov 30 15:29:17 2023	1701347357	0	6	6	6
Thu Nov 30 15:29:17 2023	1701347357	0	6	6	6
Thu Nov 30 15:29:16 2023	1701347356	1	5	6	5
Thu Nov 30 15:29:17 2023	1701347357	0	6	6	6
Thu Nov 30 15:29:17 2023	1701347357	0	6	7	6
Thu Nov 30 15:29:16 2023	1701347356	2	5	7	4
Thu Nov 30 15:29:17 2023	1701347357	0	6	7	6
Thu Nov 30 15:29:16 2023	1701347356	2	5	7	5
Thu Nov 30 15:29:17 2023	1701347357	0	6	7	6
Thu Nov 30 15:29:16 2023	1701347356	1	5	7	5
Thu Nov 30 15:29:16 2023	1701347356	1	5	7	5
Thu Nov 30 15:29:16 2023	1701347356	1	5	7	5
Thu Nov 30 15:29:16 2023	1701347356	1	6	7	5
Thu Nov 30 15:29:16 2023	1701347356	0	6	7	5
Thu Nov 30 15:29:16 2023	1701347356	0	7	7	5
Thu Nov 30 15:29:17 2023	1701347357	0	7	7	6
Thu Nov 30 15:29:16 2023	1701347356	2	5	7	5
Thu Nov 30 15:29:16 2023	1701347356	2	5	7	5
Thu Nov 30 15:29:17 2023	1701347357	0	6	7	6
Thu Nov 30 15:29:16 2023	1701347356	2	5	7	5
Thu Nov 30 15:29:17 2023	1701347357	0	7	7	6
Thu Nov 30 15:29:16 2023	1701347356	0	7	7	6
Thu Nov 30 15:29:17 2023	1701347357	0	6	7	6
Thu Nov 30 15:29:16 2023	1701347356	0	7	7	5
Thu Nov 30 15:29:16 2023	1701347356	0	7	7	5
Thu Nov 30 15:29:16 2023	1701347356	0	7	7	7
Thu Nov 30 15:29:16 2023	1701347356	2	5	7	5
Thu Nov 30 15:29:16 2023	1701347356	0	7	7	5
Thu Nov 30 15:29:16 2023	1701347356	0	7	7	7
Thu Nov 30 15:29:16 2023	1701347356	1	6	7	6
Thu Nov 30 15:29:16 2023	1701347356	2	5	7	5
Thu Nov 30 15:29:16 2023	1701347356	1	6	7	6
Thu Nov 30 15:29:16 2023	1701347356	2	5	7	5
Thu Nov 30 15:29:16 2023	1701347356	0	7	7	5
Thu Nov 30 15:29:16 2023	1701347356	0	7	7	5
Thu Nov 30 15:29:16 2023	1701347356	0	7	7	5
Thu Nov 30 15:29:17 2023	1701347357	1	7	7	7
Thu Nov 30 15:29:17 2023	1701347357	0	7	7	6
Thu Nov 30 15:29:16 2023	1701347356	0	7	7	7
Thu Nov 30 15:29:16 2023	1701347356	2	6	7	6
Thu Nov 30 15:29:16 2023	1701347356	0	7	7	7
Thu Nov 30 15:29:16 2023	1701347356	0	7	7	7
Thu Nov 30 15:29:16 2023	1701347356	0	7	7	7
Thu Nov 30 15:29:16 2023	1701347356	2	6	7	6
Thu Nov 30 15:29:16 2023	1701347356	2	6	7	5
Thu Nov 30 15:29:16 2023	1701347356	0	7	7	7
Thu Nov 30 15:29:16 2023	1701347356	2	6	7	5
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	0	8	8	7
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	0	8	8	6
Thu Nov 30 15:29:16 2023	1701347356	2	5	8	5
Thu Nov 30 15:29:16 2023	1701347356	1	6	8	6
Thu Nov 30 15:29:17 2023	1701347357	1	7	8	7
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:17 2023	1701347357	0	8	8	6
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	0	8	8	7
Thu Nov 30 15:29:16 2023	1701347356	3	5	8	5
Thu Nov 30 15:29:17 2023	1701347357	1	7	8	7
Thu Nov 30 15:29:16 2023	1701347356	0	8	8	7
Thu Nov 30 15:29:16 2023	1701347356	0	8	8	7
Thu Nov 30 15:29:17 2023	1701347357	3	5	8	5
Thu Nov 30 15:29:17 2023	1701347357	3	5	8	5
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	0	8	8	7
Thu Nov 30 15:29:16 2023	1701347356	0	8	8	8
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:17 2023	1701347357	1	7	8	7
Thu Nov 30 15:29:16 2023	1701347356	0	8	8	8
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:17 2023	1701347357	0	8	8	8
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	0	8	8	8
Thu Nov 30 15:29:16 2023	1701347356	2	6	8	6
Thu Nov 30 15:29:17 2023	1701347357	0	8	8	8
Thu Nov 30 15:29:17 2023	1701347357	2	6	8	4
Thu Nov 30 15:29:16 2023	1701347356	0	8	8	8
Thu Nov 30 15:29:17 2023	1701347357	1	7	8	7
Thu Nov 30 15:29:16 2023	1701347356	3	5	8	5
Thu Nov 30 15:29:17 2023	1701347357	2	6	8	6
Thu Nov 30 15:29:16 2023	1701347356	0	8	8	8
Thu Nov 30 15:29:17 2023	1701347357	3	5	8	5
Thu Nov 30 15:29:17 2023	1701347357	3	5	8	5
Thu Nov 30 15:29:17 2023	1701347357	3	6	8	5
Thu Nov 30 15:29:17 2023	1701347357	0	8	8	6
Thu Nov 30 15:29:17 2023	1701347357	1	7	8	6
Thu Nov 30 15:29:17 2023	1701347357	1	7	8	7
Thu Nov 30 15:29:17 2023	1701347357	2	6	8	6
Thu Nov 30 15:29:17 2023	1701347357	1	8	8	7
Thu Nov 30 15:29:17 2023	1701347357	1	7	8	7
Thu Nov 30 15:29:16 2023	1701347356	3	6	8	5
Thu Nov 30 15:29:17 2023	1701347357	3	6	9	5
Thu Nov 30 15:29:17 2023	1701347357	3	6	9	5
Thu Nov 30 15:29:16 2023	1701347356	0	8	9	8
Thu Nov 30 15:29:17 2023	1701347357	2	6	9	6
Thu Nov 30 15:29:17 2023	1701347357	2	7	9	7
Thu Nov 30 15:29:17 2023	1701347357	0	8	9	8
Thu Nov 30 15:29:16 2023	1701347356	3	6	9	6
Thu Nov 30 15:29:16 2023	1701347356	0	9	9	8
Thu Nov 30 15:29:16 2023	1701347356	3	6	9	6
Thu Nov 30 15:29:17 2023	1701347357	2	6	9	6
Thu Nov 30 15:29:17 2023	1701347357	1	8	9	8
Thu Nov 30 15:29:16 2023	1701347356	3	6	9	6
Thu Nov 30 15:29:17 2023	1701347357	1	8	9	8
Thu Nov 30 15:29:17 2023	1701347357	1	8	9	8
Thu Nov 30 15:29:17 2023	1701347357	1	8	9	8
Thu Nov 30 15:29:17 2023	1701347357	1	8	9	7
Thu Nov 30 15:29:17 2023	1701347357	2	6	9	6
Thu Nov 30 15:29:16 2023	1701347356	3	6	9	6
Thu Nov 30 15:29:17 2023	1701347357	2	7	9	7
Thu Nov 30 15:29:17 2023	1701347357	2	6	9	6
Thu Nov 30 15:29:16 2023	1701347356	3	6	9	6
Thu Nov 30 15:29:17 2023	1701347357	1	8	9	8
Thu Nov 30 15:29:17 2023	1701347357	2	6	9	6
Thu Nov 30 15:29:17 2023	1701347357	0	9	9	9
Thu Nov 30 15:29:17 2023	1701347357	1	8	9	7
