starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	4
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	4
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	1	5	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	1	6	6	5
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	1	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	6	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
